geo,time,sg_gdp_p_cap_const_ppp2011_dollar
swe,1800,1414
swe,1801,1402
swe,1802,1467
swe,1803,1453
swe,1804,1358
swe,1805,1446
swe,1806,1462
swe,1807,1401
swe,1808,1327
swe,1809,1266
swe,1810,1368
swe,1811,1470
swe,1812,1376
swe,1813,1403
swe,1814,1414
swe,1815,1464
swe,1816,1492
swe,1817,1449
swe,1818,1462
swe,1819,1449
swe,1820,1469
swe,1821,1514
swe,1822,1521
swe,1823,1505
swe,1824,1546
swe,1825,1587
swe,1826,1591
swe,1827,1517
swe,1828,1544
swe,1829,1566
swe,1830,1527
swe,1831,1557
swe,1832,1516
swe,1833,1564
swe,1834,1585
swe,1835,1579
swe,1836,1630
swe,1837,1618
swe,1838,1592
swe,1839,1610
swe,1840,1634
swe,1841,1613
swe,1842,1537
swe,1843,1571
swe,1844,1639
swe,1845,1677
swe,1846,1620
swe,1847,1663
swe,1848,1681
swe,1849,1743
swe,1850,1789
swe,1851,1754
swe,1852,1717
swe,1853,1740
swe,1854,1758
swe,1855,1867
swe,1856,1848
swe,1857,1899
swe,1858,1922
swe,1859,1992
swe,1860,2029
swe,1861,1949
swe,1862,1890
swe,1863,1971
swe,1864,2007
swe,1865,2042
swe,1866,2009
swe,1867,2039
swe,1868,1856
swe,1869,1989
swe,1870,2243
swe,1871,2321
swe,1872,2363
swe,1873,2391
swe,1874,2481
swe,1875,2393
swe,1876,2545
swe,1877,2488
swe,1878,2400
swe,1879,2532
swe,1880,2472
swe,1881,2561
swe,1882,2467
swe,1883,2654
swe,1884,2597
swe,1885,2644
swe,1886,2671
swe,1887,2592
swe,1888,2634
swe,1889,2674
swe,1890,2735
swe,1891,2885
swe,1892,2847
swe,1893,2917
swe,1894,2931
swe,1895,3074
swe,1896,3154
swe,1897,3278
swe,1898,3391
swe,1899,3475
swe,1900,3489
swe,1901,3580
swe,1902,3534
swe,1903,3720
swe,1904,3784
swe,1905,3730
swe,1906,4029
swe,1907,4298
swe,1908,4166
swe,1909,4189
swe,1910,4266
swe,1911,4377
swe,1912,4547
swe,1913,4836
swe,1914,4943
swe,1915,5120
swe,1916,5410
swe,1917,5086
swe,1918,4705
swe,1919,4781
swe,1920,5090
swe,1921,4838
swe,1922,5195
swe,1923,5372
swe,1924,5749
swe,1925,5891
swe,1926,6190
swe,1927,6403
swe,1928,6598
swe,1929,7003
swe,1930,7317
swe,1931,7142
swe,1932,6875
swe,1933,7000
swe,1934,7465
swe,1935,7821
swe,1936,8092
swe,1937,8305
swe,1938,8573
swe,1939,9199
swe,1940,8517
swe,1941,8278
swe,1942,8340
swe,1943,8598
swe,1944,8840
swe,1945,9088
swe,1946,9985
swe,1947,10787
swe,1948,10925
swe,1949,11278
swe,1950,11977
swe,1951,11890
swe,1952,12133
swe,1953,12221
swe,1954,12896
swe,1955,13177
swe,1956,13642
swe,1957,13956
swe,1958,14031
swe,1959,14598
swe,1960,15097
swe,1961,15998
swe,1962,16607
swe,1963,17228
swe,1964,18434
swe,1965,19142
swe,1966,19222
swe,1967,19709
swe,1968,20401
swe,1969,21168
swe,1970,22054
swe,1971,22277
swe,1972,22308
swe,1973,23232
swe,1974,25048
swe,1975,25353
swe,1976,25378
swe,1977,24567
swe,1978,24784
swe,1979,25827
swe,1980,26010
swe,1981,25869
swe,1982,26431
swe,1983,26808
swe,1984,27890
swe,1985,28202
swe,1986,29138
swe,1987,29889
swe,1988,30596
swe,1989,31161
swe,1990,30901
swe,1991,30340
swe,1992,29813
swe,1993,29028
swe,1994,30000
swe,1995,31044
swe,1996,31465
swe,1997,32360
swe,1998,33709
swe,1999,35208
swe,2000,36816
swe,2001,37292
swe,2002,37941
swe,2003,38702
swe,2004,40216
swe,2005,41184
swe,2006,42873
swe,2007,44005
swe,2008,43421
swe,2009,40820
swe,2010,42898
swe,2011,43709
swe,2012,43263
swe,2013,43448
swe,2014,44029
swe,2015,44892
swe,2016,45736
swe,2017,46506
swe,2018,47242
swe,2019,47931
swe,2020,48752
swe,2021,49587
swe,2022,50428
swe,2023,51278
swe,2024,52153
swe,2025,53062
swe,2026,54019
swe,2027,55005
swe,2028,56023
swe,2029,57078
swe,2030,58173
swe,2031,59309
swe,2032,60486
swe,2033,61705
swe,2034,62969
swe,2035,64280
swe,2036,65638
swe,2037,67047
swe,2038,68508
swe,2039,70023
swe,2040,71594
usa,1800,2128
